景点名,等级,地址,介绍,热度,价格,月销量,经度,纬度
稻城亚丁,4A,四川省甘孜藏族自治州稻城县,从你的全世界路过,1.0,280,37147,100.26589077053336,28.76649664059105
九华山,5A,安徽省池州市九华山镇二一九省道,神奇灵秀地，大愿九华山,1.0,189,33957,117.78681556760553,30.5959007888894
都江堰,5A,四川省成都市都江堰市,感受都江堰水利工程的古人智慧,1.0,87,29315,103.63734201320867,31.039123659727668
故宫,5A,北京市东城区景山前街4号,东方宫殿建筑代表，世界宫殿建筑典范,1.0,20,27030,116.40332233225863,39.92867787291636
庐山风景名胜区,5A,江西省九江市庐山区,匡庐奇秀甲天下,1.0,105,25048,116.00973576012935,29.66658568601871
九华山地藏王圣像景区,,安徽省池州市九华山风景区柯村新区,安忍不动犹如大地，静虑深密犹如秘藏,0.0,150,21588,117.76882575381849,30.452343045419894
秦始皇陵博物院（兵马俑）,5A,陕西省西安市临潼县秦始皇陵东1.5公里处,世界第八大奇迹,0.8800000000000001,149,21249,109.40617063756603,34.39081105427517
峨眉山,5A,四川省乐山峨眉山市,云上金顶，天下峨眉,1.0,90,17453,103.40091230855559,29.50700404085018
上海迪士尼乐园,,上海市浦东新区川沙新镇上海迪士尼度假区内,点亮心中奇梦,0.0,189,12607,121.69920088312556,31.188112047267627
三峡大坝旅游区,5A,湖北省宜昌市夷陵区三斗坪镇,高峡出平湖,1.0,68,12400,111.07981476141462,30.839321890871332
武汉海昌极地海洋世界,,湖北省武汉市东西湖区金银潭大道96号,极地海洋主题公园，不一样的极地世界,0.0,95,12113,114.28330779124663,30.670049584757095
青城山,5A,四川省成都市都江堰市青城山路,青城山下白素贞，洞中千年修此身,0.96,87,12033,103.56020918757677,30.899356662130483
碧峰峡,4A,四川省雅安市雨城区下里乡碧峰镇,听浪漫传说，呼吸大自然新鲜空气,0.9,12.6,9462,103.02196376321048,30.1101860305358
长沙海底世界,4A,湖南省长沙市三一大道浏阳河东金鹰文化城内,赏难得一见的大规模完整的软珊瑚族群,0.7,1.7,8946,113.0602154612917,28.239569655530875
